Exp,Plot,NumSp,FgNum,Fgset,C3,C4,Forb,Legume,Woody
120,1,32,4,34FL,1,1,1,1,0
120,2,1,1,L,0,0,0,1,0
120,3,4,2,4F,0,1,1,0,0
120,4,16,2,34,1,1,0,0,0
120,5,1,1,4,0,1,0,0,0
120,6,2,1,4,0,1,0,0,0
120,7,8,3,3LW,1,0,0,1,1
120,8,8,2,FL,0,0,1,1,0
120,9,16,5,34FLW,1,1,1,1,1
120,10,32,5,34FLW,1,1,1,1,1
120,11,1,1,F,0,0,1,0,0
120,12,8,4,34FL,1,1,1,1,0
120,13,4,2,FL,0,0,1,1,0
120,14,2,1,F,0,0,1,0,0
120,15,8,4,3FLW,1,0,1,1,1
120,16,1,1,F,0,0,1,0,0
120,17,16,2,34,1,1,0,0,0
120,18,32,5,34FLW,1,1,1,1,1
120,19,16,2,34,1,1,0,0,0
120,20,1,1,L,0,0,0,1,0
120,21,32,4,34FL,1,1,1,1,0
120,22,8,4,3FLW,1,0,1,1,1
120,23,16,2,34,1,1,0,0,0
120,24,4,3,34F,1,1,1,0,0
120,25,0,0,,0,0,0,0,0
120,26,4,3,34L,1,1,0,1,0
120,27,16,5,34FLW,1,1,1,1,1
120,28,4,2,LW,0,0,0,1,1
120,29,1,1,L,0,0,0,1,0
120,30,16,5,34FLW,1,1,1,1,1
120,31,1,1,4,0,1,0,0,0
120,32,2,2,4W,0,1,0,0,1
120,33,4,4,34FL,1,1,1,1,0
120,34,16,5,34FLW,1,1,1,1,1
120,35,16,5,34FLW,1,1,1,1,1
120,36,2,1,4,0,1,0,0,0
120,37,16,2,34,1,1,0,0,0
120,38,32,5,34FLW,1,1,1,1,1
120,39,32,5,34FLW,1,1,1,1,1
120,40,8,1,L,0,0,0,1,0
120,41,8,1,4,0,1,0,0,0
120,42,8,1,3,1,0,0,0,0
120,43,4,2,34,1,1,0,0,0
120,44,4,3,4FL,0,1,1,1,0
120,45,4,4,4FLW,0,1,1,1,1
120,46,16,5,34FLW,1,1,1,1,1
120,47,2,2,FL,0,0,1,1,0
120,48,2,2,3L,1,0,0,1,0
120,49,32,4,34FL,1,1,1,1,0
120,50,8,4,3FLW,1,0,1,1,1
120,51,2,1,F,0,0,1,0,0
120,52,32,5,34FLW,1,1,1,1,1
120,53,4,4,34LW,1,1,0,1,1
120,54,32,4,34FL,1,1,1,1,0
120,55,8,2,4W,0,1,0,0,1
120,56,2,2,4L,0,1,0,1,0
120,57,8,4,34FL,1,1,1,1,0
120,58,4,3,34F,1,1,1,0,0
120,59,2,2,FL,0,0,1,1,0
120,60,4,3,3LW,1,0,0,1,1
120,61,8,1,3,1,0,0,0,0
120,62,4,3,3LW,1,0,0,1,1
120,63,32,5,34FLW,1,1,1,1,1
120,64,32,5,34FLW,1,1,1,1,1
120,65,2,1,4,0,1,0,0,0
120,66,4,1,3,1,0,0,0,0
120,67,8,5,34FLW,1,1,1,1,1
120,68,16,5,34FLW,1,1,1,1,1
120,69,1,1,F,0,0,1,0,0
120,70,4,3,4FL,0,1,1,1,0
120,71,2,1,L,0,0,0,1,0
120,72,8,2,4F,0,1,1,0,0
120,73,2,2,FW,0,0,1,0,1
120,74,8,5,34FLW,1,1,1,1,1
120,75,2,2,4F,0,1,1,0,0
120,76,4,2,4W,0,1,0,0,1
120,77,8,1,F,0,0,1,0,0
120,78,32,5,34FLW,1,1,1,1,1
120,79,32,5,34FLW,1,1,1,1,1
120,80,4,2,4L,0,1,0,1,0
120,81,8,4,34FL,1,1,1,1,0
120,82,16,5,34FLW,1,1,1,1,1
120,83,1,1,L,0,0,0,1,0
120,84,8,4,34LW,1,1,0,1,1
120,85,4,2,FL,0,0,1,1,0
120,86,32,5,34FLW,1,1,1,1,1
120,87,1,1,4,0,1,0,0,0
120,88,8,2,34,1,1,0,0,0
120,89,16,5,34FLW,1,1,1,1,1
120,90,8,1,L,0,0,0,1,0
120,91,32,5,34FLW,1,1,1,1,1
120,92,1,1,4,0,1,0,0,0
120,93,4,2,3L,1,0,0,1,0
120,94,1,1,L,0,0,0,1,0
120,95,16,2,34,1,1,0,0,0
120,96,8,1,4,0,1,0,0,0
120,97,16,2,FL,0,0,1,1,0
120,98,8,5,34FLW,1,1,1,1,1
120,99,4,4,34FL,1,1,1,1,0
120,100,16,2,34,1,1,0,0,0
120,101,8,4,34LW,1,1,0,1,1
120,102,2,1,4,0,1,0,0,0
120,103,4,2,34,1,1,0,0,0
120,104,8,5,34FLW,1,1,1,1,1
120,105,32,5,34FLW,1,1,1,1,1
120,106,4,2,3F,1,0,1,0,0
120,107,16,5,34FLW,1,1,1,1,1
120,108,16,5,34FLW,1,1,1,1,1
120,109,1,1,4,0,1,0,0,0
120,110,4,3,34L,1,1,0,1,0
120,111,8,4,3FLW,1,0,1,1,1
120,112,32,5,34FLW,1,1,1,1,1
120,113,16,2,FL,0,0,1,1,0
120,114,4,3,3FL,1,0,1,1,0
120,115,8,4,34FW,1,1,1,0,1
120,116,16,2,FL,0,0,1,1,0
120,117,2,2,FL,0,0,1,1,0
120,118,8,5,34FLW,1,1,1,1,1
120,119,0,0,,0,0,0,0,0
120,120,8,2,FL,0,0,1,1,0
120,121,2,1,4,0,1,0,0,0
120,122,8,1,F,0,0,1,0,0
